aardvark,2.41
abalone,2.65
abandon,3.73
abandonment,4.95
abbey,2.2
abdomen,3.68
abdominal,3.5
abduct,5.9
abduction,5.33
abide,3.26
abiding,3.59
ability,4.85
abject,3.94
ablaze,6.75
able,3.38
abnormal,4.48
abnormality,5
abode,2.9
abolish,4.18
abominable,5.45
abomination,5.9
abort,5.8
abortion,5.43
abracadabra,5.27
abrasive,6.1
abreast,4.61
abrupt,5.23
abscess,4
absence,4.3
absent,3.72
absinthe,3.7
absolute,3.48
absolution,3.38
absolve,3.53
absorb,4.27
abstain,3.1
abstinence,3.15
abstract,3.96
absurd,4.02
absurdity,4.7
abundance,4.72
abundant,4.21
abuse,6.21
abusive,5.27
abysmal,3.91
abyss,4.85
academic,3.32
academy,3.77
accelerant,4.81
accelerate,6.04
accelerated,4.75
acceleration,6.73
accelerator,5
accent,4.95
accept,2.8
acceptable,3.65
acceptance,4.3
access,5.3
accessible,3.2
accessory,4.22
accident,4.93
accidental,4
acclaim,3.95
accommodate,3
accommodation,4.72
accompany,3.85
accomplice,4.5
accomplish,5.16
accomplishment,4.96
accord,2.85
accordion,2.94
account,3.76
accountability,3.7
accountable,4.2
accountant,3.81
accounting,3.68
accumulate,2.73
accuracy,3.33
accurate,4.35
accursed,5.33
accusation,5.48
accuse,5.32
ace,4.64
acetylene,3.67
ache,4.3
achieve,4.7
achievement,5.57
achy,4.48
acid,4.77
acknowledge,3.26
acknowledgement,3.3
acne,4.47
acorn,4.42
acoustic,4
acoustics,3.19
acquaintance,3.24
acquire,4.86
acquisition,4.36
acquit,4.56
acquittal,4.95
acre,2.73
acreage,3.74
acrobat,4.9
acrylic,3.73
act,4.19
action,6.19
action figure,4.65
activate,3.78
activation,3.52
active,5.62
activist,5.26
activity,4.86
actor,4.35
actress,5.43
actual,2.75
actuality,5.55
acupuncture,4.9
acute,5.09
ad,3.33
adage,3.38
adamant,5.74
adapt,3.9
adaptation,3.55
add,4
adder,3.24
addict,5.33
addicted,4.77
addiction,4.48
addictive,4.82
additional,3.61
address,3.05
adept,4.17
adequate,3.64
adhere,3.52
adhesive,3.2
Adidas,4.18
adjacent,2.78
adjective,3.64
adjoining,3.52
adjourn,3.15
adjust,3
adjuster,3.5
adjustment,4.59
admin,3.64
administer,3.86
administration,3.23
administrative,3.21
administrator,4.74
admirable,4.57
admiral,4.05
admiralty,4.27
